[2016-10-02 11:32:41.244] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县马站乡保家队, 1]
[2016-10-02 11:32:41.245] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县马站乡兴隆沐水河4社, 1]
[2016-10-02 11:32:41.245] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区杨柳乡小浪坝村, 1]
[2016-10-02 11:32:41.245] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区杨柳乡新明村下鱼塘组, 1]
[2016-10-02 11:32:41.246] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区板桥镇孟官村马家三社, 1]
[2016-10-02 11:32:41.246] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区板桥镇清水村, 1]
[2016-10-02 11:32:41.246] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区板桥镇苏家村三社, 1]
[2016-10-02 11:32:41.247] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区水寨乡平坡村, 1]
[2016-10-02 11:32:41.247] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区汉庄镇云瑞村2社, 1]
[2016-10-02 11:32:41.248] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区汉庄镇龙塘村上龙塘一社, 1]
[2016-10-02 11:32:41.248] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区河图镇魏家村六社, 1]
[2016-10-02 11:32:41.248] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区芒宽乡大门坎村, 1]
[2016-10-02 11:32:41.249] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区辛街乡大树腾村, 1]
[2016-10-02 11:32:41.249] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区辛街乡大梨树10社, 1]
[2016-10-02 11:32:41.250] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区辛街乡杜家村1社, 1]
[2016-10-02 11:32:41.250] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区辛街乡水眼村小松坡社, 1]
[2016-10-02 11:32:41.250] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区辛街乡汪宣村, 1]
[2016-10-02 11:32:41.251] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区辛街乡汪宣村石头路社, 1]
[2016-10-02 11:32:41.251] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区辛街乡邹里村北大树屯, 1]
[2016-10-02 11:32:41.252] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市隆阳区辛街乡邹里村大树屯村一社, 1]
[2016-10-02 11:32:41.252] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市龙陵县平达乡小田坝村核桃田社, 1]
